address,property_code,bathrooms,detailedtype,distance,district,exterior,floor,isparkingspaceincludedinprice,latitude,longitude,municipality,newdevelopment,operation,price,pricebyarea,propertytype,province,rooms,size,status,topplus,extracted_date,readable_date
calle de Indalecio Fernández,100781535,3,flat,757,Usera,true,bj,false,40.3826684,-3.6925612,Madrid,false,sale,449000.0,2626.0,flat,Madrid,3,171.0,good,false,20240830114802,2024-08-30T11:48:02Z
barrio Palomeras Bajas,100797366,1,flat,576,Puente de Vallecas,false,1,false,40.3871699,-3.6558576,Madrid,false,sale,150000.0,2885.0,flat,Madrid,2,52.0,good,false,20240731223736,2024-07-31T22:37:36Z
calle de Paulo Freire,100892957,5,chalet,670,Universidad - Hospital,false,null,true,40.2813216,-3.8131384,Fuenlabrada,false,sale,520000.0,1884.0,chalet,Madrid,5,276.0,good,false,20240830235002,2024-08-30T23:50:02Z
calle del Cocherón de la Villa,100913713,1,flat,162,Puente de Vallecas,true,7,true,40.3801093,-3.6349186,Madrid,false,sale,175000.0,2574.0,flat,Madrid,1,68.0,good,false,20240731223735,2024-07-31T22:37:35Z
calle de Rafael Fernández Hijicos,100935499,2,flat,254,Puente de Vallecas,true,6,false,40.3902761,-3.6378494,Madrid,false,sale,304000.0,2413.0,flat,Madrid,4,126.0,good,false,20240731223737,2024-07-31T22:37:37Z
calle de Rafael Fernández Hijicos,100935499,2,flat,254,Puente de Vallecas,true,6,false,40.3902761,-3.6378494,Madrid,false,sale,304000.0,2413.0,flat,Madrid,4,126.0,good,false,20240830114813,2024-08-30T11:48:13Z
calle de Arturo Soria,100993050,4,flat,995,Ciudad Lineal,true,2,true,40.461158,-3.6605883,Madrid,false,sale,1395000.0,4359.0,flat,Madrid,5,320.0,good,false,20240731223745,2024-07-31T22:37:45Z
calle de Maqueda,101068982,1,flat,959,Latina,false,bj,false,40.3877479,-3.7628732,Madrid,false,sale,179900.0,2998.0,flat,Madrid,3,60.0,renew,false,20240830235013,2024-08-30T23:50:13Z
barrio La Fortuna,101127814,3,flat,592,La Fortuna,false,3,false,40.3579794,-3.7808943,Leganés,false,sale,273000.0,1696.0,flat,Madrid,4,161.0,good,false,20240830235010,2024-08-30T23:50:10Z
calle de San Alfonso,101132934,3,flat,745,La Fortuna,true,3,false,40.3571371,-3.7787624,Leganés,false,sale,273000.0,1696.0,duplex,Madrid,4,161.0,good,false,20240830235010,2024-08-30T23:50:10Z
barrio El Viso,101133402,5,flat,999,Chamartín,true,6,true,40.4382632,-3.6823748,Madrid,false,sale,2300000.0,8984.0,flat,Madrid,5,256.0,renew,true,20240731223740,2024-07-31T22:37:40Z
barrio El Viso,101133402,5,flat,510,Chamartín,true,6,true,40.4382632,-3.6823748,Madrid,false,sale,2300000.0,8984.0,flat,Madrid,5,256.0,renew,true,20240731223741,2024-07-31T22:37:41Z
barrio El Viso,101133402,5,flat,999,Chamartín,true,6,true,40.4382632,-3.6823748,Madrid,false,sale,2300000.0,8984.0,flat,Madrid,5,256.0,renew,true,20240830114827,2024-08-30T11:48:27Z
barrio El Viso,101133402,5,flat,510,Chamartín,true,6,true,40.4382632,-3.6823748,Madrid,false,sale,2300000.0,8984.0,flat,Madrid,5,256.0,renew,true,20240830114834,2024-08-30T11:48:34Z
"calle de las Orquídeas, 1",101177858,2,flat,404,Tetuán,true,1,false,40.4641116,-3.7026881,Madrid,true,sale,417500.0,4349.0,flat,Madrid,2,96.0,newdevelopment,false,20240731223744,2024-07-31T22:37:44Z
barrio Castellana,101183612,4,flat,777,Barrio de Salamanca,false,1,false,40.4365393,-3.6857305,Madrid,false,sale,1275000.0,10200.0,flat,Madrid,3,125.0,good,true,20240731223740,2024-07-31T22:37:40Z
barrio Castellana,101183612,4,flat,638,Barrio de Salamanca,false,1,false,40.4365393,-3.6857305,Madrid,false,sale,1275000.0,10200.0,flat,Madrid,3,125.0,good,true,20240731223741,2024-07-31T22:37:41Z
barrio Castellana,101183612,4,flat,921,Barrio de Salamanca,true,null,false,40.4340089,-3.686075,Madrid,false,sale,1275000.0,10200.0,flat,Madrid,3,125.0,good,true,20240830114834,2024-08-30T11:48:34Z
calle Mayor,101184519,2,flat,446,Centro,true,1,false,40.4154363,-3.7069391,Madrid,false,sale,745000.0,5644.0,flat,Madrid,3,132.0,good,true,20240731223738,2024-07-31T22:37:38Z
calle Mayor,101184519,2,flat,454,Centro,true,1,false,40.4149846,-3.7067794,Madrid,false,sale,745000.0,5644.0,flat,Madrid,3,132.0,good,true,20240830114824,2024-08-30T11:48:24Z
calle Florentino Rodríguez Alonso,101213913,3,chalet,862,Hortaleza,false,null,true,40.4792446,-3.6251317,Madrid,false,sale,985000.0,3518.0,chalet,Madrid,6,280.0,good,false,20240731223747,2024-07-31T22:37:47Z
covadonga,101220149,1,flat,746,Centro,true,bj,false,40.3246736,-3.7700103,Leganés,false,sale,149000.0,3170.0,flat,Madrid,1,47.0,good,false,20240830235006,2024-08-30T23:50:06Z
covadonga,101220149,1,flat,674,Centro,true,bj,false,40.3246736,-3.7700103,Leganés,false,sale,149000.0,3170.0,flat,Madrid,1,47.0,good,false,20240830235008,2024-08-30T23:50:08Z
paseo de la Castellana,101247375,3,flat,889,Tetuán,true,1,false,40.4562455,-3.6916148,Madrid,false,sale,950000.0,7480.0,flat,Madrid,3,127.0,good,false,20240830114857,2024-08-30T11:48:57Z
calle Emilio Raboso,101295966,2,flat,139,Puente de Vallecas,true,3,false,40.3915306,-3.6702504,Madrid,false,sale,354000.0,2855.0,penthouse,Madrid,3,124.0,good,false,20240731223736,2024-07-31T22:37:36Z
"avenida Vicente Ferrer, 8",101321459,2,flat,944,San Nicasio - Campo de Tiro - Solagua,true,null,false,40.338703,-3.783693,Leganés,true,sale,393211.0,3449.0,flat,Madrid,3,114.0,newdevelopment,false,20240830235007,2024-08-30T23:50:07Z
"avenida Vicente Ferrer, 8",101321459,2,flat,615,San Nicasio - Campo de Tiro - Solagua,true,null,false,40.338703,-3.783693,Leganés,true,sale,393211.0,3449.0,flat,Madrid,3,114.0,newdevelopment,false,20240830235009,2024-08-30T23:50:09Z
"avenida Vicente Ferrer, 8",101321479,2,flat,944,San Nicasio - Campo de Tiro - Solagua,true,null,false,40.338703,-3.783693,Leganés,true,sale,368495.0,3444.0,flat,Madrid,3,107.0,newdevelopment,false,20240830235007,2024-08-30T23:50:07Z
"avenida Vicente Ferrer, 8",101321479,2,flat,615,San Nicasio - Campo de Tiro - Solagua,true,null,false,40.338703,-3.783693,Leganés,true,sale,368495.0,3444.0,flat,Madrid,3,107.0,newdevelopment,false,20240830235009,2024-08-30T23:50:09Z
calle del Camino de los Vinateros,101324566,2,flat,585,Moratalaz,true,3,false,40.403989,-3.6421339,Madrid,false,sale,268000.0,3153.0,flat,Madrid,4,85.0,good,false,20240731223738,2024-07-31T22:37:38Z
calle del Camino de los Vinateros,101324566,2,flat,828,Moratalaz,true,3,false,40.403989,-3.6421339,Madrid,false,sale,268000.0,3153.0,flat,Madrid,4,85.0,good,false,20240830114820,2024-08-30T11:48:20Z
calle del Camino de los Vinateros,101324566,2,flat,585,Moratalaz,true,3,false,40.403989,-3.6421339,Madrid,false,sale,268000.0,3153.0,flat,Madrid,4,85.0,good,false,20240830114823,2024-08-30T11:48:23Z
calle del Doctor Esquerdo,101329238,2,flat,637,Barrio de Salamanca,true,5,false,40.4224304,-3.6702581,Madrid,false,sale,795000.0,6211.0,flat,Madrid,3,128.0,good,false,20240731223739,2024-07-31T22:37:39Z
calle del Doctor Esquerdo,101329238,2,flat,637,Barrio de Salamanca,true,5,false,40.4224304,-3.6702581,Madrid,false,sale,795000.0,6211.0,flat,Madrid,3,128.0,good,false,20240830114825,2024-08-30T11:48:25Z
barrio Valderas - Los Castillos,101350811,2,flat,184,Valderas - Los Castillos,true,bj,true,40.354664,-3.8031737,Alcorcón,false,sale,529000.0,2484.0,flat,Madrid,4,213.0,good,false,20240830235010,2024-08-30T23:50:10Z
calle del Cactus,101382112,2,flat,790,Tetuán,true,3,true,40.4613312,-3.6978735,Madrid,false,sale,349000.0,6123.0,duplex,Madrid,1,57.0,good,false,20240731223744,2024-07-31T22:37:44Z
"calle Pinto, 11",101454163,2,flat,729,Centro,true,1,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,250000.0,2475.0,flat,Madrid,3,101.0,newdevelopment,false,20240830235002,2024-08-30T23:50:02Z
"calle Pinto, 11",101454163,2,flat,700,Centro,true,1,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,250000.0,2475.0,flat,Madrid,3,101.0,newdevelopment,false,20240830235003,2024-08-30T23:50:03Z
"calle Pinto, 11",101454293,2,flat,729,Centro,true,4,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,350000.0,2448.0,penthouse,Madrid,3,143.0,newdevelopment,false,20240830235002,2024-08-30T23:50:02Z
"calle Pinto, 11",101454293,2,flat,700,Centro,true,4,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,350000.0,2448.0,penthouse,Madrid,3,143.0,newdevelopment,false,20240830235003,2024-08-30T23:50:03Z
"calle Pinto, 11",101454297,2,flat,729,Centro,true,bj,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,320000.0,2443.0,flat,Madrid,3,131.0,newdevelopment,false,20240830235002,2024-08-30T23:50:02Z
"calle Pinto, 11",101454297,2,flat,700,Centro,true,bj,true,40.2807803,-3.7956297,Fuenlabrada,true,sale,320000.0,2443.0,flat,Madrid,3,131.0,newdevelopment,false,20240830235003,2024-08-30T23:50:03Z
calle de Fobos,101460080,2,flat,890,Moratalaz,true,13,true,40.4121087,-3.6351068,Madrid,false,sale,995000.0,6030.0,penthouse,Madrid,3,165.0,good,false,20240731223738,2024-07-31T22:37:38Z
calle de Fobos,101460080,2,flat,890,Moratalaz,true,13,true,40.4121087,-3.6351068,Madrid,false,sale,995000.0,6030.0,penthouse,Madrid,3,165.0,good,false,20240830114823,2024-08-30T11:48:23Z
paseo de la Dirección,101474837,1,flat,410,Tetuán,true,14,true,40.4682534,-3.7068063,Madrid,false,sale,475000.0,6090.0,flat,Madrid,1,78.0,good,false,20240731223744,2024-07-31T22:37:44Z
calle de Atocha,101570166,2,flat,968,Centro,true,1,false,40.410404,-3.6932283,Madrid,false,sale,839000.0,7915.0,flat,Madrid,2,106.0,good,false,20240731223737,2024-07-31T22:37:37Z
calle de Atocha,101570166,2,flat,968,Centro,true,1,false,40.410404,-3.6932283,Madrid,false,sale,839000.0,7915.0,flat,Madrid,2,106.0,good,false,20240830114817,2024-08-30T11:48:17Z
calle de Villalar,101581822,4,flat,495,Barrio de Salamanca,false,5,false,40.4199048,-3.6895465,Madrid,false,sale,2490000.0,12450.0,penthouse,Madrid,4,200.0,good,true,20240731223739,2024-07-31T22:37:39Z
calle de Villalar,101581822,4,flat,495,Barrio de Salamanca,false,5,false,40.4199048,-3.6895465,Madrid,false,sale,2490000.0,12450.0,penthouse,Madrid,4,200.0,good,true,20240830114824,2024-08-30T11:48:24Z
avenida de los Derechos Humanos,101612758,2,flat,903,Derechos Humanos,true,bj,false,40.3225971,-3.7620095,Leganés,false,sale,265000.0,2650.0,flat,Madrid,3,100.0,good,false,20240830235006,2024-08-30T23:50:06Z
avenida de los Derechos Humanos,101612758,2,flat,842,Derechos Humanos,true,bj,false,40.3225971,-3.7620095,Leganés,false,sale,265000.0,2650.0,flat,Madrid,3,100.0,good,false,20240830235007,2024-08-30T23:50:07Z
calle de Aristóteles,101749043,2,flat,131,Ciudad Lineal,true,7,false,40.4433551,-3.6525327,Madrid,false,sale,298000.0,3010.0,flat,Madrid,3,99.0,good,false,20240731223742,2024-07-31T22:37:42Z
calle de Aristóteles,101749043,2,flat,131,Ciudad Lineal,true,7,false,40.4433551,-3.6525327,Madrid,false,sale,298000.0,3010.0,flat,Madrid,3,99.0,good,false,20240830114839,2024-08-30T11:48:39Z
"camino Viejo de Burgos, 25",101754178,7,chalet,477,Hortaleza,false,null,true,40.4824909,-3.6302787,Madrid,true,sale,1325000.0,3610.0,chalet,Madrid,5,367.0,newdevelopment,false,20240731223747,2024-07-31T22:37:47Z
"camino Viejo de Burgos, 25",101754178,7,chalet,477,Hortaleza,false,null,true,40.4824909,-3.6302787,Madrid,true,sale,1325000.0,3610.0,chalet,Madrid,5,367.0,newdevelopment,false,20240830114941,2024-08-30T11:49:41Z
"calle de Mesena, 80",101839705,2,flat,940,Hortaleza,false,1,true,40.4658414,-3.6627638,Madrid,true,sale,797500.0,6380.0,flat,Madrid,2,125.0,newdevelopment,false,20240731223745,2024-07-31T22:37:45Z
"calle de Mesena, 80",101839705,2,flat,940,Hortaleza,false,1,true,40.4658414,-3.6627638,Madrid,true,sale,797500.0,6380.0,flat,Madrid,2,125.0,newdevelopment,false,20240830114937,2024-08-30T11:49:37Z
calle de Moreruela,101846588,3,chalet,161,Hortaleza,false,null,false,40.481851,-3.634963,Madrid,false,sale,1250000.0,4433.0,chalet,Madrid,4,282.0,good,false,20240731223747,2024-07-31T22:37:47Z
calle de Moreruela,101846588,3,chalet,161,Hortaleza,false,null,false,40.481851,-3.634963,Madrid,false,sale,1250000.0,4433.0,chalet,Madrid,4,282.0,good,false,20240830114941,2024-08-30T11:49:41Z
Rivas Urbanizaciones,101852937,4,chalet,767,Rivas Urbanizaciones,false,null,false,40.3684913,-3.5287859,Rivas-Vaciamadrid,false,sale,660000.0,1833.0,chalet,Madrid,5,360.0,good,false,20240830235402,2024-08-30T23:54:02Z
paseo de las Delicias,101909262,2,flat,893,Arganzuela,true,1,true,40.3971926,-3.6946764,Madrid,false,sale,560000.0,5385.0,flat,Madrid,3,104.0,good,false,20240731223736,2024-07-31T22:37:36Z
calle de la Magdalena,101932319,2,flat,797,Centro,true,1,false,40.4107698,-3.6984775,Madrid,false,sale,644000.0,4050.0,flat,Madrid,2,159.0,good,false,20240731223737,2024-07-31T22:37:37Z
calle de la Magdalena,101932319,2,flat,797,Centro,true,1,false,40.4107698,-3.6984775,Madrid,false,sale,644000.0,4050.0,flat,Madrid,2,159.0,good,false,20240830114814,2024-08-30T11:48:14Z
calle de José Ortega y Gasset,101980713,5,flat,158,Barrio de Salamanca,true,2,true,40.4291479,-3.6870993,Madrid,false,sale,7900000.0,16702.0,flat,Madrid,4,473.0,good,true,20240731223740,2024-07-31T22:37:40Z
calle de José Ortega y Gasset,101980713,5,flat,158,Barrio de Salamanca,true,2,true,40.4291479,-3.6870993,Madrid,false,sale,7900000.0,16702.0,flat,Madrid,4,473.0,good,true,20240830114827,2024-08-30T11:48:27Z
calle de la Magdalena,101981389,2,flat,903,Centro,true,bj,false,40.4119324,-3.704929,Madrid,false,sale,675000.0,2576.0,flat,Madrid,2,262.0,good,false,20240731223737,2024-07-31T22:37:37Z
calle de la Magdalena,101981389,2,flat,599,Centro,true,bj,false,40.4119324,-3.704929,Madrid,false,sale,675000.0,2576.0,flat,Madrid,2,262.0,good,false,20240731223738,2024-07-31T22:37:38Z
barrio Goya,102032315,3,flat,999,Barrio de Salamanca,true,3,true,40.4257138,-3.6792799,Madrid,false,sale,1700000.0,7727.0,flat,Madrid,4,220.0,renew,true,20240731223740,2024-07-31T22:37:40Z
barrio Goya,102032315,3,flat,665,Barrio de Salamanca,true,3,true,40.4257138,-3.6792799,Madrid,false,sale,1700000.0,7727.0,flat,Madrid,4,220.0,renew,true,20240830114827,2024-08-30T11:48:27Z
barrio Goya,102032315,3,flat,999,Barrio de Salamanca,true,3,true,40.4257138,-3.6792799,Madrid,false,sale,1700000.0,7727.0,flat,Madrid,4,220.0,renew,true,20240830114829,2024-08-30T11:48:29Z
barrio Nueva España,102043012,2,flat,951,Chamartín,true,bj,true,40.4615205,-3.6780267,Madrid,false,sale,1650000.0,9116.0,flat,Madrid,2,181.0,good,true,20240731223743,2024-07-31T22:37:43Z
barrio Nueva España,102043012,2,flat,923,Chamartín,true,bj,true,40.4615205,-3.6780267,Madrid,false,sale,1650000.0,9116.0,flat,Madrid,2,181.0,good,true,20240731223745,2024-07-31T22:37:45Z
barrio Nueva España,102043012,2,flat,951,Chamartín,true,bj,true,40.4615205,-3.6780267,Madrid,false,sale,1650000.0,9116.0,flat,Madrid,2,181.0,good,true,20240830114917,2024-08-30T11:49:17Z
barrio Nueva España,102043012,2,flat,923,Chamartín,true,bj,true,40.4615205,-3.6780267,Madrid,false,sale,1650000.0,9116.0,flat,Madrid,2,181.0,good,true,20240830114936,2024-08-30T11:49:36Z
calle de la Academia,102043013,2,flat,271,Retiro,true,2,false,40.4163218,-3.688444,Madrid,false,sale,1200000.0,9677.0,flat,Madrid,2,124.0,good,false,20240731223739,2024-07-31T22:37:39Z
calle de la Academia,102043013,2,flat,271,Retiro,true,2,false,40.4163218,-3.688444,Madrid,false,sale,1200000.0,9677.0,flat,Madrid,2,124.0,good,false,20240830114824,2024-08-30T11:48:24Z
avenida de Barranquilla,102067082,2,flat,913,Hortaleza,true,5,false,40.4754407,-3.638819,Madrid,false,sale,350000.0,4487.0,flat,Madrid,3,78.0,good,false,20240731223745,2024-07-31T22:37:45Z
avenida de Barranquilla,102067082,2,flat,913,Hortaleza,true,5,false,40.4754407,-3.638819,Madrid,false,sale,350000.0,4487.0,flat,Madrid,3,78.0,good,false,20240830114938,2024-08-30T11:49:38Z
avenida de Barranquilla,102067082,2,flat,631,Hortaleza,true,5,false,40.4754407,-3.638819,Madrid,false,sale,350000.0,4487.0,flat,Madrid,3,78.0,good,false,20240830114941,2024-08-30T11:49:41Z
calle de la Academia,102093483,2,flat,965,Retiro,true,2,false,40.4125053,-3.6882492,Madrid,false,sale,1200000.0,9677.0,flat,Madrid,2,124.0,good,false,20240731223737,2024-07-31T22:37:37Z
calle de la Academia,102093483,2,flat,965,Retiro,true,2,false,40.4125053,-3.6882492,Madrid,false,sale,1200000.0,9677.0,flat,Madrid,2,124.0,good,false,20240830114817,2024-08-30T11:48:17Z
barrio Legazpi,102150070,1,flat,933,Arganzuela,true,null,true,40.3853026,-3.6952184,Madrid,false,sale,1300000.0,3611.0,flat,Madrid,4,360.0,good,false,20240731223734,2024-07-31T22:37:34Z
barrio Legazpi,102150070,1,flat,888,Arganzuela,true,null,true,40.3853026,-3.6952184,Madrid,false,sale,1300000.0,3611.0,flat,Madrid,4,360.0,good,false,20240731223736,2024-07-31T22:37:36Z
